name,jain,vegetarian,vegan,jain_reason,vegetarian_reason,vegan_reason
acesulfame potassium,yes,yes,yes,Artificial sweetener - synthetic compound not derived from animals or plants requiring harm,Artificial sweetener - not animal derived,Artificial sweetener - not animal derived
adrenaline,no,no,no,Animal hormone - derived from animal glands,Animal hormone - derived from animal glands,Animal hormone - derived from animal glands
afterbirth,no,no,no,Animal tissue/organ - clearly animal derived,Animal tissue/organ - clearly animal derived,Animal tissue/organ - clearly animal derived
agar,yes,yes,yes,Seaweed extract - marine plant not involving harm to sentient beings,Plant-based gelling agent from seaweed,Plant-based gelling agent from seaweed
alanine,no,no,no,Amino acid - often animal derived from muscle tissue,Amino acid - often animal derived from muscle tissue,Amino acid - often animal derived from muscle tissue
albumen,no,no,no,Egg white protein - derived from eggs,Egg white protein - derived from eggs,Egg white protein - derived from eggs
albumin,no,no,no,Protein found in egg whites and blood serum,Protein found in egg whites and blood serum,Protein found in egg whites and blood serum
alcloxa,no,no,no,Aluminum compound derived from animal sources,Aluminum compound derived from animal sources,Aluminum compound derived from animal sources
aldioxa,no,no,no,Chemical compound often derived from animal fats,Chemical compound often derived from animal fats,Chemical compound often derived from animal fats
aliphatic alcohol,no,no,no,Often derived from animal fats or synthetic sources,Often derived from animal fats or synthetic sources,Often derived from animal fats or synthetic sources
allantoin,no,no,no,Found in animal urine and tissues,Found in animal urine and tissues,Found in animal urine and tissues
alligator skin,no,no,no,Animal skin - clearly animal derived,Animal skin - clearly animal derived,Animal skin - clearly animal derived
allspice,yes,yes,yes,Plant spice from Pimenta dioica berries - no harm to sentient beings,Plant-based spice from dried berries,Plant-based spice from dried berries
almond,yes,yes,yes,Tree nut - plant-based protein source not involving harm,Plant-based nut from almond trees,Plant-based nut from almond trees
almonds,yes,yes,yes,Tree nuts - plant-based protein source not involving harm,Plant-based nuts from almond trees,Plant-based nuts from almond trees
alpha tocopherol acetate,yes,yes,yes,Vitamin E derivative - can be synthetically produced or plant-derived,Vitamin E compound - typically synthetic or plant-derived,Vitamin E compound - typically synthetic or plant-derived
alpha-hydroxy acids,no,no,no,Often derived from sour milk or animal sources,Often derived from sour milk or animal sources,Often derived from sour milk or animal sources
ambergris,no,no,no,Whale secretion - animal derived,Whale secretion - animal derived,Whale secretion - animal derived
amino acids,no,no,no,Often derived from animal proteins and tissues,Often derived from animal proteins and tissues,Often derived from animal proteins and tissues
aminosuccinate acid,no,no,no,Amino acid derivative often from animal sources,Amino acid derivative often from animal sources,Amino acid derivative often from animal sources
angora,no,no,no,Animal fiber from rabbits,Animal fiber from rabbits,Animal fiber from rabbits
animal fats and oils,no,no,no,Animal fats and oils - clearly animal derived,Animal fats and oils - clearly animal derived,Animal fats and oils - clearly animal derived
animal hair,no,no,no,Animal hair - clearly animal derived,Animal hair - clearly animal derived,Animal hair - clearly animal derived
annatto,yes,yes,yes,Natural orange-red food coloring from Bixa orellana seeds - plant-based,Plant-based natural food coloring from seeds,Plant-based natural food coloring from seeds
apios,no,yes,yes,Root vegetable (groundnut) - considered underground growth which may harm microorganisms in Jain belief,Plant-based tuber vegetable,Plant-based tuber vegetable
apples,yes,yes,yes,Tree fruit - harvested without harming the plant,Plant-based fruit from apple trees,Plant-based fruit from apple trees
arachidonic acid,no,no,no,Fatty acid primarily from animal sources,Fatty acid primarily from animal sources,Fatty acid primarily from animal sources
arachidyl proprionate,no,no,no,Fatty acid ester often from animal fats,Fatty acid ester often from animal fats,Fatty acid ester often from animal fats
arrowroot,no,yes,yes,Root starch - underground growth may harm microorganisms in Jain belief,Plant-based starch from arrowroot tubers,Plant-based starch from arrowroot tubers
artificial color,maybe,maybe,maybe,Synthetic colors generally acceptable in Jain diet,Synthetic colors not animal-derived,May contain carmine or other animal-derived colorants
artificial flavor,maybe,maybe,maybe,Synthetic flavors generally acceptable in Jain diet,Synthetic flavors not animal-derived,May contain castoreum or other animal-derived flavors
asafoetida,yes,yes,yes,Plant resin - aromatic spice from Ferula plants acceptable in Jain diet,Plant-based aromatic resin spice,Plant-based aromatic resin spice
avocado oil,yes,yes,yes,Plant oil from avocado fruit - no harm to plant or sentient beings,Plant-based oil from avocado fruit,Plant-based oil from avocado fruit
bacon,no,no,no,Bacon - clearly animal derived,Bacon - clearly animal derived,Bacon - clearly animal derived
baingan,yes,yes,yes,Eggplant - fruit vegetable acceptable in Jain diet,Plant-based vegetable (eggplant),Plant-based vegetable (eggplant)
baking soda,yes,yes,yes,Sodium bicarbonate - mineral compound not from animals or plants requiring harm,Mineral compound - sodium bicarbonate,Mineral compound - sodium bicarbonate
banana,yes,yes,yes,Tree fruit - harvested without harming the plant,Plant-based fruit from banana trees,Plant-based fruit from banana trees
bananas,yes,yes,yes,Tree fruits - harvested without harming the plant,Plant-based fruits from banana trees,Plant-based fruits from banana trees
