Ingredient_name,jain,vegetarian,vegan,jain_reason,vegetarian_reason,vegan_reason
agar,Yes,Yes,Yes,,,
almonds,Yes,Yes,Yes,,,
apios,No,Yes,Yes,,,
apples,Yes,Yes,Yes,,,
arrowroot,No,Yes,Yes,,,
artificial color,Yes,Yes,No,,,
artificial flavor,Yes,Yes,No,,,
asafoetida,Yes,Yes,Yes,,,
avocado oil,Yes,Yes,Yes,,,
baingan,Yes,Yes,Yes,,,
baking soda,Yes,Yes,Yes,,,
bananas,Yes,Yes,Yes,,,
barley,Yes,Yes,Yes,,,
beet,No,Yes,Yes,,,
beet syrup,No,Yes,Yes,,,
beetroot,No,Yes,Yes,,,
bell peppers,Yes,Yes,Yes,,,
berries,Yes,Yes,Yes,,,
bitter gourd,Yes,Yes,Yes,,,
black-eyed peas,Yes,Yes,Yes,,,
blue 1,Yes,Yes,Yes,,,
blue 1 lake,Yes,Yes,Yes,,,
blue 2,Yes,Yes,Yes,,,
blue 2 lake,Yes,Yes,Yes,,,
bottle gourd,Yes,Yes,Yes,,,
brinjal,Yes,Yes,Yes,,,
broccoli,Yes,Yes,Yes,,,
burdock root,No,Yes,Yes,,,
butter,Yes,Yes,No,,,
buttermilk,Yes,Yes,No,,,
cabbage,Yes,Yes,Yes,,,
calcium carbonate,Yes,Yes,Yes,,,
cane sugar,Yes,Yes,No,,,
canola,Yes,Yes,Yes,,,
capsicum,Yes,Yes,Yes,,,
carnauba wax,Yes,Yes,Yes,,,
carrot,No,Yes,Yes,,,
cashews,Yes,Yes,Yes,,,
cassava,No,Yes,Yes,,,
cauliflower,Yes,Yes,Yes,,,
celeriac,No,Yes,Yes,,,
chana,Yes,Yes,Yes,,,
cheddar cheese,Yes,Yes,No,,,
chickpeas,Yes,Yes,Yes,,,
chinese artichoke,No,Yes,Yes,,,
chocolate,Yes,Yes,No,,,
cilantro,Yes,Yes,Yes,,,
clarified butter,Yes,Yes,No,,,
cocoa butter,Yes,Yes,Yes,,,
coconut,Yes,Yes,Yes,,,
coconut oil,Yes,Yes,Yes,,,
color,Yes,Yes,No,,,
coriander,Yes,Yes,Yes,,,
coriander leaves,Yes,Yes,Yes,,,
corn,Yes,Yes,Yes,,,
corn syrup,Yes,Yes,Yes,,,
corn syrup solids,Yes,Yes,Yes,,,
cornstarch,Yes,Yes,Yes,,,
cornstarch less than 1% of corn syrup,Yes,Yes,Yes,,,
cottage cheese,Yes,Yes,No,,,
cream,Yes,Yes,No,,,
cucumber,Yes,Yes,Yes,,,
cumin,Yes,Yes,Yes,,,
curd,Yes,Yes,No,,,
curry leaves,Yes,Yes,Yes,,,
daikon,No,Yes,Yes,,,
dark chocolate,Yes,Yes,No,,,
dextrin,Yes,Yes,Yes,,,
dhania,Yes,Yes,Yes,,,
disodium phosphate,Yes,Yes,Yes,,,
dour cream,No,Yes,No,,,
dried ginger,Yes,Yes,Yes,,,
egg,No,No,No,,,
egg whites,No,No,No,,,
eggplant,Yes,Yes,Yes,,,
eggs,No,No,No,,,
elephant yam,No,Yes,Yes,,,
enriched corn meal,Yes,Yes,Yes,,,
extracts of oregano,Yes,Yes,Yes,,,
fennel,No,Yes,Yes,,,
fennel bulb,No,Yes,Yes,,,
fenugreek leaves,Yes,Yes,Yes,,,
flaxseed,Yes,Yes,Yes,,,
fruit and vegetable juice,Yes,Yes,Yes,,,
galangal,No,Yes,Yes,,,
garlic,No,Yes,Yes,,,
ghee,Yes,Yes,No,,,
ginger,No,Yes,Yes,,,
ginger powder,Yes,Yes,Yes,,,
glycerine,Yes,Yes,No,,,
grapes,Yes,Yes,Yes,,,
green chilies,Yes,Yes,Yes,,,
green tea,Yes,Yes,Yes,,,
groundnut oil,Yes,Yes,Yes,,,
